Index,Symbol,Company Name,Market Cap,Last Sale,% Change,Revenue
333,BRKR,Bruker Corporation,6.74B,44.45,-0.04%,3.37B
334,ANGI,Angi Inc.,6.71B,1.560,-2.50%,1.19B
335,QRVO,"Qorvo, Inc.",6.71B,71.80,-0.77%,3.79B
336,LNTH,"Lantheus Holdings, Inc.",6.70B,97.71,-1.15%,1.53B
337,SRAD,Sportradar Group AG,6.68B,22.32,0.09%,1.15B
338,COOP,Mr. Cooper Group Inc.,6.63B,104.20,-1.32%,2.23B
339,BBIO,"BridgeBio Pharma, Inc.",6.61B,34.77,2.54%,221.90M
340,BOKF,BOK Financial Corporation,6.55B,102.02,-0.54%,2.03B
341,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",6.55B,106.88,1.58%,2.27B
342,MAT,"Mattel, Inc.",6.54B,19.80,-1.15%,5.38B
343,CHRD,Chord Energy Corporation,6.53B,109.71,-0.97%,4.92B
344,UFPI,"UFP Industries, Inc.",6.52B,107.50,-0.37%,6.65B
345,AAON,"AAON, Inc.",6.50B,79.65,0.29%,1.20B
346,WAY,Waystar Holding Corp.,6.45B,37.48,-1.78%,943.55M
347,NXT,Nextracker Inc.,6.45B,44.27,-1.56%,2.77B
348,NBIS,Nebius Group N.V.,6.36B,26.98,3.08%,117.50M
349,BPOP,"Popular, Inc.",6.36B,91.37,1.27%,2.68B
350,GLBE,Global-E Online Ltd.,6.33B,37.91,2.90%,752.76M
351,STEP,StepStone Group Inc.,6.30B,53.87,-2.41%,1.15B
352,PEGA,Pegasystems Inc.,6.26B,72.89,1.31%,1.50B
353,SLM,SLM Corporation,6.25B,29.70,-0.57%,1.44B
354,TGTX,"TG Therapeutics, Inc.",6.24B,42.99,2.63%,329.00M
355,CIGI,Colliers International Group Inc.,6.21B,122.67,-0.90%,4.82B
356,SNDK,Sandisk Corporation,6.20B,53.96,-4.00%,7.22B
